time,Pm2.5,Pm10 0
2024-07-05T02:42:00.000Z,4,4
2024-07-05T02:53:39.000Z,,
2024-07-05T03:05:18.000Z,,
2024-07-05T03:16:57.000Z,,
2024-07-05T03:28:36.000Z,,
2024-07-05T03:40:15.000Z,4,5
2024-07-05T03:51:54.000Z,,
2024-07-05T04:03:33.000Z,,
2024-07-05T04:15:12.000Z,,
2024-07-05T04:26:51.000Z,,
2024-07-05T04:38:30.000Z,4,4
2024-07-05T04:50:09.000Z,,
2024-07-05T05:01:48.000Z,,
2024-07-05T05:13:27.000Z,,
2024-07-05T05:25:06.000Z,,
2024-07-05T05:36:45.000Z,,
2024-07-05T05:48:24.000Z,5,6
2024-07-05T06:00:03.000Z,,
2024-07-05T06:11:42.000Z,,
2024-07-05T06:23:21.000Z,,
2024-07-05T06:35:00.000Z,,
2024-07-05T06:46:39.000Z,4,4
2024-07-05T06:58:18.000Z,,
2024-07-05T07:09:57.000Z,,
2024-07-05T07:21:36.000Z,,
2024-07-05T07:33:15.000Z,,
2024-07-05T07:44:54.000Z,4,5
2024-07-05T07:56:33.000Z,,
2024-07-05T08:08:12.000Z,,
2024-07-05T08:19:51.000Z,,
2024-07-05T08:31:30.000Z,,
2024-07-05T08:43:09.000Z,,
2024-07-05T08:54:48.000Z,4,4
2024-07-05T09:06:27.000Z,,
2024-07-05T09:18:06.000Z,,
2024-07-05T09:29:45.000Z,,
2024-07-05T09:41:24.000Z,,
2024-07-05T09:53:03.000Z,4,5
2024-07-05T10:04:42.000Z,,
2024-07-05T10:16:21.000Z,,
2024-07-05T10:28:00.000Z,,
2024-07-05T10:39:39.000Z,,
2024-07-05T10:51:18.000Z,4,4
2024-07-05T11:02:57.000Z,,
2024-07-05T11:14:36.000Z,,
2024-07-05T11:26:15.000Z,,
2024-07-05T11:37:54.000Z,,
2024-07-05T11:49:33.000Z,,
2024-07-05T12:01:12.000Z,4,5
2024-07-05T12:12:51.000Z,,
2024-07-05T12:24:30.000Z,,
2024-07-05T12:36:09.000Z,,
2024-07-05T12:47:48.000Z,,
2024-07-05T12:59:27.000Z,4,4
2024-07-05T13:11:06.000Z,,
2024-07-05T13:22:45.000Z,,
2024-07-05T13:34:24.000Z,,
2024-07-05T13:46:03.000Z,,
2024-07-05T13:57:42.000Z,4,5
2024-07-05T14:09:21.000Z,,
2024-07-05T14:21:00.000Z,,
2024-07-05T14:32:39.000Z,,
2024-07-05T14:44:18.000Z,,
2024-07-05T14:55:57.000Z,4,4
2024-07-05T15:07:36.000Z,,
2024-07-05T15:19:15.000Z,,
2024-07-05T15:30:54.000Z,,
2024-07-05T15:42:33.000Z,,
2024-07-05T15:54:12.000Z,,
2024-07-05T16:05:51.000Z,4,5
2024-07-05T16:17:30.000Z,,
2024-07-05T16:29:09.000Z,,
2024-07-05T16:40:48.000Z,,
2024-07-05T16:52:27.000Z,,
2024-07-05T17:04:06.000Z,4,4
2024-07-05T17:15:45.000Z,,
2024-07-05T17:27:24.000Z,,
2024-07-05T17:39:03.000Z,,
2024-07-05T17:50:42.000Z,,
2024-07-05T18:02:21.000Z,5,6
2024-07-05T18:14:00.000Z,,
2024-07-05T18:25:39.000Z,,
2024-07-05T18:37:18.000Z,,
2024-07-05T18:48:57.000Z,,
2024-07-05T19:00:36.000Z,4,4
2024-07-05T19:12:15.000Z,,
2024-07-05T19:23:54.000Z,,
2024-07-05T19:35:33.000Z,,
2024-07-05T19:47:12.000Z,,
2024-07-05T19:58:51.000Z,,
2024-07-05T20:10:30.000Z,5,6
2024-07-05T20:22:09.000Z,,
2024-07-05T20:33:48.000Z,,
2024-07-05T20:45:27.000Z,,
2024-07-05T20:57:06.000Z,,
2024-07-05T21:08:45.000Z,68,86
2024-07-05T21:20:24.000Z,,
2024-07-05T21:32:03.000Z,,
2024-07-05T21:43:42.000Z,,
2024-07-05T21:55:21.000Z,,
2024-07-05T22:07:00.000Z,5,6
2024-07-05T22:18:39.000Z,,
2024-07-05T22:30:18.000Z,,
2024-07-05T22:41:57.000Z,,
2024-07-05T22:53:36.000Z,,
2024-07-05T23:05:15.000Z,206,270
